Mean_Acc5_Mean_Mem20_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Mean_Acc5_Mean_Mem20_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Mean_Acc5_Mean_Mem20_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Mean_Acc5_Mean_Mem20_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Mean_Acc5_Mean_Mem20_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Mean_Acc5_Mean_Mem20_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Mean_Acc5_Mean_Mem20_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Mean_Acc5_Mean_Mem20_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Mean_Acc5_Mean_Mem20_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Mean_Acc5_Mean_Mem20_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Mean_Acc5_Mean_Mem20_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Mean_Acc5_Mean_Mem20_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Mean_Acc5_Mean_Mem20_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Mean_Acc5_Std_Mem20_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Mean_Acc5_Std_Mem20_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Mean_Acc5_Std_Mem20_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Mean_Acc5_Std_Mem20_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Mean_Acc5_Std_Mem20_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Mean_Acc5_Std_Mem20_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Mean_Acc5_Std_Mem20_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Mean_Acc5_Std_Mem20_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Mean_Acc5_Std_Mem20_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Mean_Acc5_Std_Mem20_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Mean_Acc5_Std_Mem20_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Mean_Acc5_Std_Mem20_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Mean_Acc5_Std_Mem20_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Std_Acc5_Mean_Mem20_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Std_Acc5_Mean_Mem20_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Std_Acc5_Mean_Mem20_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Std_Acc5_Mean_Mem20_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Std_Acc5_Mean_Mem20_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Std_Acc5_Mean_Mem20_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Std_Acc5_Mean_Mem20_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Std_Acc5_Mean_Mem20_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Std_Acc5_Mean_Mem20_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Std_Acc5_Mean_Mem20_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Std_Acc5_Mean_Mem20_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Std_Acc5_Mean_Mem20_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Std_Acc5_Mean_Mem20_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Std_Acc5_Std_Mem20_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Std_Acc5_Std_Mem20_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Std_Acc5_Std_Mem20_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Std_Acc5_Std_Mem20_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Std_Acc5_Std_Mem20_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Std_Acc5_Std_Mem20_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Std_Acc5_Std_Mem20_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Std_Acc5_Std_Mem20_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Std_Acc5_Std_Mem20_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Std_Acc5_Std_Mem20_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Std_Acc5_Std_Mem20_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Std_Acc5_Std_Mem20_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,Std_Acc5_Std_Mem20_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0
-48.161163,3.060794,-0.742862,1.201133,-0.080368,0.224506,-0.295693,0.067157,0.095218,0.171825,0.125539,0.115524,0.057917,1.648561,0.85943,0.625466,0.535,0.506907,0.467229,0.475194,0.445641,0.450025,0.445922,0.42817,0.427993,0.399128,1.110318,0.854991,0.430963,0.391973,0.296132,0.286511,0.303549,0.245377,0.30035,0.367009,0.269737,0.317553,0.227157,0.685301,0.308173,0.138897,0.15174,0.1198,0.114023,0.112086,0.113781,0.119612,0.119095,0.110228,0.099999,0.081948
-49.874107,0.375727,-0.43359,2.162069,-0.30481,0.380377,0.421555,0.476388,0.422402,0.700379,0.283516,0.313879,0.035405,1.008779,0.562982,0.459894,0.488984,0.448362,0.437769,0.425041,0.38702,0.377001,0.383313,0.388657,0.365265,0.35807,2.001076,0.537046,0.413905,0.493816,0.336301,0.413835,0.293399,0.248735,0.218652,0.309065,0.256254,0.260533,0.281044,0.914348,0.251262,0.119266,0.187305,0.144852,0.11728,0.114928,0.082227,0.084938,0.078105,0.084627,0.085695,0.069579
-55.724806,6.801393,-1.55447,0.95195,-0.395868,0.3685,-0.306994,-0.207374,-0.261821,0.024014,-0.06435,0.187847,-0.084596,1.871766,0.871631,0.540095,0.482729,0.463916,0.453154,0.457475,0.472206,0.473882,0.445937,0.448281,0.421916,0.391714,3.231737,1.587556,0.501454,0.387875,0.296172,0.304607,0.341411,0.547718,0.44155,0.445572,0.384927,0.28872,0.267084,0.948761,0.321875,0.16685,0.116654,0.101114,0.106083,0.124569,0.164492,0.137374,0.135277,0.134116,0.08505,0.082526
-54.255976,5.817904,0.291713,1.620934,0.277403,0.830826,0.072815,-0.042423,0.289643,0.115296,0.184167,-0.106476,0.120015,2.366554,1.57259,0.92404,0.69681,0.636668,0.538047,0.496461,0.501607,0.457566,0.476365,0.440201,0.442335,0.410148,4.937098,1.356424,0.993896,0.607212,0.617055,0.555031,0.357051,0.389095,0.321159,0.392029,0.393999,0.353617,0.343723,1.337267,0.733819,0.346275,0.222224,0.18139,0.166746,0.11155,0.144327,0.115189,0.14192,0.119064,0.114507,0.108553
-61.470387,6.188776,0.672483,1.656535,-0.355965,0.562096,-0.144847,0.136847,0.09427,-0.158932,0.189192,0.025116,0.085712,0.789007,0.557974,0.437391,0.456869,0.447233,0.440108,0.415759,0.436343,0.430957,0.410045,0.421524,0.402049,0.384739,4.280656,1.384667,0.413705,0.476147,0.453639,0.438038,0.353258,0.478061,0.685486,0.605258,0.585085,0.668675,0.582802,0.434133,0.264057,0.107862,0.127209,0.117289,0.09578,0.093891,0.10535,0.111662,0.098369,0.133007,0.14347,0.11533
-48.742738,3.273263,0.994235,1.184725,0.448324,0.767501,0.00206,0.256324,0.266574,0.258523,0.155968,0.073112,0.12769,2.839238,1.076176,0.98031,0.724146,0.628888,0.567194,0.518035,0.47012,0.478242,0.438244,0.441086,0.434234,0.472251,1.456218,0.527298,0.651861,0.390121,0.522398,0.373033,0.247484,0.264099,0.197499,0.219361,0.217678,0.181608,0.223285,0.98481,0.260536,0.348445,0.262194,0.181932,0.148163,0.122751,0.097636,0.11298,0.112411,0.099212,0.119732,0.145302
-45.905088,2.380477,0.109008,1.229163,0.443813,0.242454,-0.221627,0.698044,-0.156002,0.137972,0.169898,0.070076,0.060307,1.607497,0.680829,0.641427,0.628981,0.536625,0.544424,0.537821,0.535436,0.541961,0.461205,0.48149,0.473698,0.475894,1.504461,0.574994,0.486546,0.425845,0.342728,0.312436,0.293506,0.363686,0.301688,0.30913,0.28252,0.256771,0.300327,0.443648,0.203151,0.161144,0.181289,0.115151,0.139992,0.110431,0.130412,0.120442,0.094865,0.102964,0.098751,0.130982
-41.144368,3.065713,-0.530227,1.193525,-0.336664,0.235688,0.264741,0.009489,0.203739,0.038789,0.076082,-0.035249,-0.104765,4.194042,1.060693,1.075629,0.975913,0.74992,0.48793,0.530378,0.546826,0.460524,0.488966,0.488893,0.416029,0.388249,12.124521,1.279225,0.844636,0.764437,0.545531,0.246622,0.427653,0.338824,0.244121,0.296089,0.302041,0.235512,0.208187,6.212749,0.486958,0.539271,0.428902,0.34153,0.19825,0.217127,0.227881,0.173473,0.181699,0.17499,0.156597,0.136308
-57.251695,5.799777,-0.55943,1.315778,0.191174,-0.018791,-0.177863,-0.455345,-0.1285,0.040304,0.161515,0.142962,0.22078,1.422732,0.685561,0.572078,0.552296,0.533604,0.525776,0.537395,0.569178,0.621493,0.66189,0.621527,0.572156,0.605994,1.753648,0.904202,0.55421,0.302967,0.430329,0.402452,0.52662,0.710855,0.731792,0.784068,0.679918,0.606074,0.59996,0.467884,0.168402,0.133114,0.138286,0.140973,0.137927,0.1325,0.148175,0.203917,0.220409,0.198154,0.159616,0.198209
-44.228825,4.213713,-0.172318,0.86333,0.069873,-0.227835,0.15359,-0.093049,0.197662,-0.06937,0.003861,0.200845,-0.121246,1.696194,0.772311,0.815883,0.751513,0.574697,0.560815,0.52391,0.519251,0.541011,0.507242,0.493152,0.490579,0.525202,1.269953,0.498249,0.493216,0.674086,0.563764,0.402525,0.390387,0.377179,0.401921,0.339595,0.289862,0.283568,0.417485,0.700854,0.223054,0.225543,0.238426,0.17058,0.14792,0.128351,0.139604,0.144369,0.143366,0.106628,0.122607,0.147684
-50.533824,4.528809,0.699422,1.749145,-0.206209,0.812021,0.028046,0.456248,-0.396631,-0.149371,0.070549,-0.195022,-0.218487,1.799801,0.695236,0.700925,0.730772,0.569419,0.547455,0.490818,0.457882,0.469256,0.456226,0.426466,0.453927,0.427476,3.263338,0.743057,0.936207,1.000659,0.777797,0.740124,0.391079,0.441023,0.619176,0.45561,0.374709,0.506483,0.48418,0.886229,0.286062,0.311153,0.270636,0.218844,0.161764,0.151393,0.130519,0.141929,0.128003,0.113811,0.124075,0.118864
